,,Original circuit,,,Peephole,,,Peephole + LP,,,Qiskit,
Circuit,SQG,Entangling,T,SQG,Entangling,T,SQG,Entangling,T,SQG,Entangling,T
dj_nativegates_ibm_qiskit_opt0_6.qasm,70,5,7.7,19,3,3.1,19,3,3.1,22,5,4.6
dj_nativegates_ibm_qiskit_opt0_7.qasm,84,6,9.1,19,3,3.1,19,3,3.1,27,6,5.5
dj_nativegates_ibm_qiskit_opt0_8.qasm,98,7,10.5,21,3,3.1,21,3,3.1,32,7,6.4
dj_nativegates_ibm_qiskit_opt0_9.qasm,110,8,11.9,22,3,3.1,22,3,3.1,34,8,7.1
dj_nativegates_ibm_qiskit_opt0_10.qasm,124,9,13.3,22,3,3.1,22,3,3.1,39,9,8
dj_nativegates_ibm_qiskit_opt0_11.qasm,138,10,14.8,24,3,3.1,24,3,3.1,44,10,8.9
dj_nativegates_ibm_qiskit_opt0_12.qasm,150,11,16.1,25,3,3.1,25,3,3.1,46,11,9.7
dj_nativegates_ibm_qiskit_opt0_13.qasm,164,12,17.5,25,3,3.1,25,3,3.1,51,12,10.6
dj_nativegates_ibm_qiskit_opt0_14.qasm,178,13,19,27,3,3.1,27,3,3.1,56,13,11.5
dj_nativegates_ibm_qiskit_opt0_15.qasm,190,14,20.3,28,3,3.1,28,3,3.1,58,14,12.3
dj_nativegates_ibm_qiskit_opt0_16.qasm,202,15,21.6,29,3,3.1,29,3,3.1,60,15,13.1
dj_nativegates_ibm_qiskit_opt0_17.qasm,216,16,23.1,29,3,3.1,29,3,3.1,65,16,13.9
dj_nativegates_ibm_qiskit_opt0_18.qasm,228,17,24.4,30,3,3.1,30,3,3.1,67,17,14.7
dj_nativegates_ibm_qiskit_opt0_19.qasm,240,18,25.7,31,3,3.1,31,3,3.1,69,18,15.5
dj_nativegates_ibm_qiskit_opt0_20.qasm,252,19,27.1,32,3,3.1,32,3,3.1,71,19,16.3
dj_nativegates_ibm_qiskit_opt0_21.qasm,264,20,28.4,33,3,3.1,33,3,3.1,73,20,17.1
dj_nativegates_ibm_qiskit_opt0_22.qasm,276,21,29.7,34,3,3.1,34,3,3.1,75,21,17.9
dj_nativegates_ibm_qiskit_opt0_23.qasm,290,22,31.2,36,3,3.1,36,3,3.1,80,22,18.7
dj_nativegates_ibm_qiskit_opt0_24.qasm,302,23,32.5,37,3,3.1,37,3,3.1,82,23,19.5
dj_nativegates_ibm_qiskit_opt0_25.qasm,314,24,33.8,38,3,3.1,38,3,3.1,84,24,20.3
ghz_nativegates_ibm_qiskit_opt0_2.qasm,9,1,1.6,4,1,1,4,1,1,4,1,1
ghz_nativegates_ibm_qiskit_opt0_3.qasm,15,2,2.6,10,2,2,10,2,2,8,2,1.9
ghz_nativegates_ibm_qiskit_opt0_4.qasm,21,3,3.6,16,3,3,16,3,3,12,3,2.8
ghz_nativegates_ibm_qiskit_opt0_5.qasm,27,4,4.6,22,4,4,22,4,4,16,4,3.7
ghz_nativegates_ibm_qiskit_opt0_6.qasm,33,5,5.6,28,5,5,28,5,5,20,5,4.6
ghz_nativegates_ibm_qiskit_opt0_7.qasm,39,6,6.6,34,6,6,34,6,6,24,6,5.5
ghz_nativegates_ibm_qiskit_opt0_8.qasm,45,7,7.6,40,7,7,40,7,7,28,7,6.4
ghz_nativegates_ibm_qiskit_opt0_9.qasm,51,8,8.6,46,8,8,46,8,8,32,8,7.2
ghz_nativegates_ibm_qiskit_opt0_10.qasm,57,9,9.6,52,9,9,52,9,9,36,9,8.1
ghz_nativegates_ibm_qiskit_opt0_11.qasm,63,10,10.6,58,10,10,58,10,10,40,10,9
ghz_nativegates_ibm_qiskit_opt0_12.qasm,69,11,11.6,64,11,11,64,11,11,44,11,9.9
ghz_nativegates_ibm_qiskit_opt0_13.qasm,75,12,12.6,70,12,12,70,12,12,48,12,10.8
ghz_nativegates_ibm_qiskit_opt0_14.qasm,81,13,13.6,76,13,13,76,13,13,52,13,11.7
ghz_nativegates_ibm_qiskit_opt0_15.qasm,87,14,14.6,82,14,14,82,14,14,56,14,12.6
